rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.accountLink,user.realm,user.userId,displayImageUrl
3.5,"Although I'm not a fan of sci-fi movies about extraterrestrials, Arrival was incredible. The story is very interesting and told in a clever way through science and politics instead of the overused premise of aliens destroying the planet for domination. Amy Adams delivered another brilliant performance that earned her an Academy Award nomination but not a win. She's definitely overdue for an Oscar.",Farah R,False,False,False,False,3.5,5d ago,Farah R,/user/id/916050255,RT,916050255,
0.5,Arrival was stupid.  Pretentious film that spends all its time analyzing coffee cup stains.,Paul B,False,False,False,False,0.5,"Jun 06, 2022",Paul B,/user/id/977819939,RT,977819939,
3.5,Not so much a movie about aliens invading Earth as much as it is a study of language and how societies use it. An interesting take on the genre of movie that will split audiences in half by it's ending.,Holden T,False,False,False,False,3.5,"Jun 05, 2022",Holden T,/user/id/978157234,RT,978157234,
4.5,A must watch for independent thinkers and people who value the everlasting perspectives of the cosmos. Challenging to understand but it makes it that much more amazing.,Bradley G,False,False,False,False,4.5,"May 29, 2022",Bradley G,/user/id/977328758,RT,977328758,https://graph.facebook.com/v3.3/693722970693522/picture
4.0,"This is not your typical alien movie, it's much more realistic. It's actually about communicating with the aliens. Not sure what to think of the ending thoug.",Michael K,False,False,False,False,4.0,"May 24, 2022",Michael K,/user/id/979421093,RT,979421093,
3.0,Fucking CCP propaganda! Be clear that the three stars is purely for the sci-fi content; I am not a communist.,Ian U,False,False,False,True,3.0,"May 10, 2022",Ian U,/user/id/956178901,RT,956178901,https://graph.facebook.com/v3.3/100000981926115/picture
3.0,unfortunately it was just okay,Peerawee P,False,False,False,False,3.0,"May 09, 2022",Peerawee P,/user/id/908424610,RT,908424610,https://graph.facebook.com/v3.3/100002205039031/picture
5.0,"This movie is fantastic. The performance of Amy Adams is unparalleled, and the approach to the storyline is fantastic as well. It is a cerebral movie and may have suffered from marketing as a Sci-Fi action drama, but this is deeper than a typical alien invasion shoot 'em up drama. The pieces are laid out during the first act and leave the viewer confused, trying to put them together, and when they eventually come together it snaps so neatly and satisfyingly. This is a fantastic movie that has more in common with films like Inception than Independence Day. In my opinion, one of the best films of the year.",Shawn K,False,False,False,False,5.0,"May 01, 2022",Shawn K,/user/id/788055151,RT,788055151,
3.0,I am as confused as you are (in a good way). I think this is what Memento wants to be but cannot be.,Maureen C,False,False,False,False,3.0,"Apr 29, 2022",Maureen C,/user/id/979319806,RT,979319806,https://graph.facebook.com/v3.3/1598509216971032/picture
5.0,Cinematic genius! So thought provoking. Definitely a must watch.,Light B,False,False,False,False,5.0,"Apr 24, 2022",Light B,/user/id/979552179,RT,979552179,
5.0,An amazing movie!!I loved it!!,,False,False,False,False,5.0,"Apr 21, 2022",,,Flixster,eae31048-0bd0-479e-8b40-32b2218a03fa,
4.5,"great philosophical message, like that linguistics is one of the main elements, dislike that this political rivalry with china and russia is plugged in which doesn't help the plot development much but increases the hostile stereotype that western audience has on those two countries",Luo J,False,False,False,False,4.5,"Apr 21, 2022",Luo J,/user/id/977939749,RT,977939749,https://graph.facebook.com/v3.3/2325452791019629/picture
1.0,"Bijna de hele film, was het spannend. Maar wat een kut einde. Zonde vd hele film",Bali S,False,False,False,False,1.0,"Apr 14, 2022",Bali S,/user/id/979542462,RT,979542462,https://graph.facebook.com/v3.3/4776513289144336/picture
5.0,"Intelligent, riveting cinema.",Alison L,False,False,False,False,5.0,"Apr 14, 2022",Alison L,/user/id/964350125,RT,964350125,https://graph.facebook.com/v3.3/1226889024/picture
3.0,"No, not recommending it to watch.
The alien design and language are interesting but the fact that she knowingly gives life to her daughter just to lose her to cancer years later makes me and usually the majority of people (especially those who have kids) furious. The reason behind why she does so is just as wrong. She ""wants to live what she's seen in the future"". Selfish act af. and an invalid thought that every woman want to experience motherhood.
One more negative aspect of the movie: it's way too slooooooooooow. I watched it to the end because the alien line was interesting a tiny bit.",Souske J,False,False,False,False,3.0,"Apr 13, 2022",Souske J,/user/id/978993423,RT,978993423,
5.0,"Emotional, thought provoking and perplexing (in a good way) all throughout. Not your typical scifi movie. Must watch",Joel M,False,False,False,False,5.0,"Apr 07, 2022",Joel M,/user/id/936658121,RT,936658121,
4.5,"At first glance, an incomprehensible and lengthy high-budget arthouse, but looking closer, you can see a deep and dramatic story, with an unexpected plot twist, with an unusual visual range and a catchy soundtrack",Black S,False,False,False,False,4.5,"Apr 01, 2022",Black S,/user/id/979164712,RT,979164712,
5.0,"My favorite movie! This is a gem, its a absolute must see
The movie soundtrack is a truly perfection",Mafer C,False,False,False,False,5.0,"Apr 01, 2022",Mafer C,/user/id/979428938,RT,979428938,https://graph.facebook.com/v3.3/5252165854797540/picture
4.5,"This movie is a creative and beautiful sci-fi film which actually manages to provoke emotions from viewers, at least it did in my case, and seeing by other reviews, any others feel the same way. The movie is never boring, nor slow; throughout it constantly provokes thought and reaches into your heart. It is simply beautiful. The shots, action, and its carefully, elegantly and dare I say again beautiful portrayal of language and its affect on all life. Thematically, visually, and emotionally this movie hits the mark and is a sci-fi film, whether a passionate fan or stranger of the genre, that people should definitely watch - you will most likely enjoy it :)",Mason C,False,False,False,False,4.5,"Mar 21, 2022",Mason C,/user/id/979512865,RT,979512865,
3.5,"Overall a well-made and interesting film with some great performances, but for me it was somewhat spoiled by an overly-contrived central parable that forced viewers to take sides for no purpose.",Tim B,False,False,False,False,3.5,"Mar 20, 2022",Tim B,/user/id/916475016,RT,916475016,
3.5,"Despite being critically acclaimed, 'Arrival' is another one of those films that is praised to the heavens with critics but has wildly divided audiences judging from the nature of both the positivity and negativity. Though it has to be said that the positive reviewers have been far more mature than the negative ones, many of which to me being disgustingly condescending.

'Arrival' is a very different sci-fi film, and one can definitely see why people will love it and be moved by it as well as seeing why people will hate it and be alienated. To me, 'Arrival' is not as good as reputed and is not a masterpiece, but even if it didn't do much for me it would have gotten a 4 at least. From personal opinion there are far worse films out there that are far more deserving of 1/10, and it would be insulting to put 'Arrival' down there with them. Even if the film didn't much for me, the good things would still be acknowledged and there would be real effort to be respectful of other people's opinions regardless of agreeing or disagreeing with them rather than being insulting and inventing ridiculous and untrue conspiracy theories. Those who hated it do need to grow up and start accepting that not everybody hates this film and that those who loved it are being genuine, and no being angry at being disappointed by it is not an excuse. Coming from a younger film lover than most on this site who's autistic and disabled but those have not gotten in the way of being understanding of people's opinions, what's your excuse?

Back to my thoughts on the film, 'Arrival' is a meditatively paced film, and is not an action filled or jam packed with constant narrative. While this may understandably alienate viewers, neither of these are necessarily bad things especially when there are great to masterpiece films that are the same. Of the four films seen of Denis Villeneuve so far, 'Arrival' may be my least favourite, and his most polarising, least violent and most gentle, but that is just testament to how very good 'Prisoners' is and how fantastic 'Incendies' and 'Sicario' are.

The criticisms are understandable and am in agreement with some. It does drag in the middle act, softening and slacking too much. It does get confusing in the later stages, where things can get ridiculous and predictable.

Forest Whittaker and particularly Michael Stuhlbarg's characters are underutilised and underwritten with both having very little to do, the two do make the most of their roles one has to give them that.

However, 'Arrival' does look wonderful. This is particularly true in Bradford Young's cinematography, being fluid and its tactile quality is of sheer beauty. It's beautifully and atmospherically designed and lit, the special effects have grand spectacle and the editing is some of the best of its year.

Johann Johannsson's music score is another standout, it has a haunting creepiness and has a heart-pulsating and emotional beat. It not only adds a huge amount to the film, it also enhances it. Denis Villeneuve's direction is his most subtle and least hard-hitting, which is not only a good thing but the right thing, the approach he gave to 'Prisoners' and 'Sicario' would have ruined an atmosphere that's the complete opposite.

In terms of how it's written, 'Arrival' is not perfect but it has a movingly raw emotion, thoughtfulness, subtly suspenseful mystery and gives a compelling realism to its character especially the protagonist. Likewise the story (yes there is one), with a poignant emotion and a clever and powerful, if perhaps not the most logical, twist.

The acting is one of 'Arrival's' best assets, all round it's very good even if some characters are better realised than others. Amy Adams in particular is astounding, she has rarely been more poignant. Jeremy Renner also underplays effortlessly.

All in all, divisive film but count me as one of the people who liked it but in an appreciation way than a loved it way. 7/10 Bethany Cox",Kyle E,False,False,False,False,3.5,"Mar 18, 2022",Kyle E,/user/id/965732148,RT,965732148,https://graph.facebook.com/v3.3/100008237642228/picture
5.0,"Out of the countless films I've watched, from various genres, directors, actors and award winners. My mind always jumps back to this one. I am still unable to translate my feeling towards this masterpiece into words - and I don't think I'll ever be able to.",Y G,False,False,False,False,5.0,"Mar 13, 2022",Y G,/user/id/979068874,RT,979068874,
2.0,"I'm not here to feed any egos. They really thought they did something here. And they did, but They could have done it so much faster. For a movie about time it sure does drag.",Shelby S,False,False,False,False,2.0,"Mar 07, 2022",Shelby S,/user/id/977515299,RT,977515299,https://graph.facebook.com/v3.3/767074426974124/picture
5.0,"I've seen many ""alien"" movies in my time but this one is quite unique, it sums up for me what I think would happen if aliens came to earth. The story is a beautiful one, although somewhat somber at times. I was mostly impressed by the imagination used to create language in this; many writers have created languages for many of reasons, however this really takes our understanding of language outside the box, to try and create a believable non human communication system. It was also very well shot, and perfectly paced. Definitely underrated.",Sarah A,False,False,False,False,5.0,"Mar 06, 2022",Sarah A,/user/id/979151127,RT,979151127,https://graph.facebook.com/v3.3/503551524426240/picture
5.0,"A riveting story with excellent characterization and complex storytelling, it's the rare movie that treats its audience like intelligent beings. Deliberately withholding information at points to let the viewer fill in blanks and figure things out before they happen on screen, Arrival is an example of an original concept excellently brought to life.",Ellen N,False,False,False,False,5.0,"Mar 06, 2022",Ellen N,/user/id/979496417,RT,979496417,
5.0,"By the end we are stunned! 
What is time? And what will we do with the time we have? 
Beginning is the end, the end is the beginning
What a filmmaking!",Mahesa D,False,False,False,False,5.0,"Mar 05, 2022",Mahesa D,/user/id/979491886,RT,979491886,https://graph.facebook.com/v3.3/10220144200530586/picture
4.0,"A good sci-fi movie. Amy Adams is fantastic, the first act is among the best in the ""first contact"" genre, and the makers made great decisions about how to portray the aliens and their ships. The sound is also fantastic. The story is really good, but it suffers from a pretty heavy handed treatment, especially towards the end.",James C,False,False,False,False,4.0,"Mar 03, 2022",James C,/user/id/979490903,RT,979490903,
4.5,"This is a must-see alien encounter film. It is a thinking person kind of flick. Great acting, even pacing, some action and great special FX with very unique aliens that are here to instruct and guide us.",John P,False,False,False,False,4.5,"Mar 01, 2022",John P,/user/id/978349962,RT,978349962,
5.0,"By far my favorite movie, it plays with so many scientific concepts and beautifully delivers the message of unity and understanding that it strives for. The aliens are unsettling yet calming it really puts the audience on the edge of their seats. 5/5 stars super engaging!",Jesse G,False,False,False,False,5.0,"Feb 24, 2022",Jesse G,/user/id/979337002,RT,979337002,
4.0,"I watched this way to late at night to understand fully, but still ugly cried multiple times. I think I have a maternal attachment to Amy Adams, seeing her slightly sad makes me want to die. 
This film is beautiful, thoughtful, timely, and enthralling. To wholly appreciate will require re-watches, but that won't feel like a chore.",Andrea W,False,False,False,False,4.0,"Feb 22, 2022",Andrea W,/user/id/979299916,RT,979299916,
5.0,"Arrival is an out of the ordinary sci-fi movie, with its most essential focus being a mother and other ""real"" things. Denis Villeneuve made a masterpiece in more than one ways. The imagery is monumental and simple the same time, emphasizing that here not the CGI, the spectacle or the pace is the major driving force of this story, but the people themselves in it. Besides this it also offers a stunning plot with some twists.",Ben S,False,False,False,False,5.0,"Feb 16, 2022",Ben S,/user/id/979315211,RT,979315211,
5.0,"I feel strongly that this film is a masterclass in film-making, as it is able to merge the epic scope of the sci-fi genre, with a story that ultimately centres around motherhood.
Without spoiling the film, I'd summarise it as an
exploration of the human condition and what it means to be a mother, wrapped under the guise of an alien blockbuster. On a cinematic level, this film is near perfect. Denis Villeneuve manages to create a synthesis of the real-world environment with excellent CGI, creating a more grounded,
realistic alien film that isn't very common. The score is unbeatable, with the heart-wrenching melody of Max Richter's ""On the nature of daylight"" swelling in the epilogue, emphasising the heart-wrenching climax of the film.
Of course, Amy Adams is superb (as always), as she so fluently, pardon the pun, portrays a confident linguist who creates a realistic balance between her career and her motherhood. This is an incredible character that Amy Adams fantastically portrays. Jeremy Renner is great too,
as is Forest Whitaker, but Amy Adams is definitely the star here.
To conclude, I implore you to watch this film! It is
groundbreaking, as it has not only completely redefined the sci-fi genre for me, but it has reshaped my philosophy regarding mortality and love, and made me think of things in different ways. The film forces you to delve deep into
your own life, it forces you to confront your feelings and your regrets, yet you're never taken out of the film - you remain completely immersed in Villeneuve's frighteningly authentic world. I never expected a film that on the surface seemed to be about the arrival of aliens, to instead stir my
emotions in a way that very rarely happens with a film.",Ari Y,False,False,False,False,5.0,"Feb 12, 2022",Ari Y,/user/id/979471303,RT,979471303,https://graph.facebook.com/v3.3/1324706534659401/picture
